Key,Value
close,إغلاق
mark-as-cheating,تأشير كـ حالة غش
blacklist-student,إدراج في القائمة السوداء
student-details,تفاصيل الطالب
blacklist-warning,تحذير: هذا الإجراء سيؤدي إلى إدراج الطالب نهائياً في القائمة السوداء ومنعه من دخول الامتحانات. لا يمكن التراجع عن هذا الإجراء.
blacklist-reason,سبب الإدراج في القائمة السوداء
enter-blacklist-reason,يرجى إدخال سبب إدراج هذا الطالب في القائمة السوداء...
manage-blacklisted-students,إدارة المسجلين المدرجين في القائمة السوداء
unblacklist-student,إزالة من القائمة السوداء
unblacklist,إزالة من القائمة السوداء
unblacklist-reason,سبب الإزالة من القائمة السوداء
enter-unblacklist-reason,يرجى إدخال سبب إزالة هذا الطالب من القائمة السوداء...
unblacklist-warning,هذا الإجراء سيؤدي إلى إزالة الطالب من القائمة السوداء والسماح له بدخول الامتحانات مرة أخرى.
search-student-name,البحث باسم الطالب
search-exam-center,البحث بمركز الامتحان
blacklisted-date,تاريخ الإدراج في القائمة السوداء
blacklisted,مدرج في القائمة السوداء
unblacklisted,تم إزالته من القائمة السوداء
all,الكل
view-details,عرض التفاصيل
blacklist,القائمة السوداء
dialogue,القطعة
sub-questions,الاسئلة الفرعية
sub-question,السؤال الفرعي
sub-question-title,عنوان السؤال الفرعي
add-sub-question,إضافة سؤال فرعي
add-first-sub-question,إضافة سؤال فرعي أول
no-sub-questions,لا يوجد أسئلة فرعية
add-sub-questions-to-create-dialogue,إضافة اسئلة فرعية لإنشاء القطعة
this-dialogue-has-no-sub-questions,لا يوجد أسئلة فرعية لهذا القطعة
show-alternate-title,عرض العنوان باللغة الإنكليزية
alternate-title,العنوان باللغة الإنكليزية
enter-alternate-title,أدخل العنوان باللغة الإنكليزية
no-answer-provided,لا يوجد إجابة
sunday,الأحد
monday,الاثنين
tuesday,الثلاثاء
wednesday,الأربعاء
thursday,الخميس
friday,الجمعة
saturday,السبت
available-days,الأيام المتاحة
reshuffle-questions,اعادة خلط الاسئلة 
no-supervisors-selected,لم يتم تحديد مراقبين بعد
assign-supervisors,تعيين المراقبين
supervisors,المراقبين المحددين
